Jeżeli wysiadł prąd, to mówimy że strzeliły:;nakrętki;plastry;pistolety;korki
"Jeden za wszystkich, wszyscy za jednego" to motto trzech:;amigos;wojowników;pijaków;muszkieterów
Najniższym numerem na kole ruletki jest:;3;2;1;0
Przy stole operacyjnym pomoże:;Helenolog;Katarzynolog;Martolog;Anestezjolog
Na którym polu szachownicy nie ustawia się wieży:;H8;A1;A8;H2
Najtwardsza tkanka w organiźmie to:;kostna;chrzęstna;kostniwo;szkliwo
Kartłowaty konik często dawany dzieciom do jazdy:;mustang;arab;tarpan;kucyk
Która aktorka towarzyszyłą Leonardo di Caprio w filmie "Titanic" ?;Gwyneth Paltrow;Sandra Bullock;Meg Ryan;Kate Winslet
Kto wynalazł telefon?;Franklin;Pasteur;Marshall;Bell
Pierwszego dnia czerwca obchodzi się dzień:;świstaka;ojca;brudasa;dziecka
